sample,copied,analyzed,quality,remarks,remarks2
h1,yes,yes,representative,,
h2,yes,yes,representative,,
h3,yes,yes,intermediate,,
h4,yes,yes,intermediate,,
h5,yes,yes,representative,,
h6,yes,yes,intermediate,,
h7,yes,yes,representative,,
id6,yes,yes,intermediate,,
id6fup,yes,yes,intermediate,,
id7,yes,yes,intermediate,,
id8,yes,yes,representative,,
id8fup,yes,yes,representative,,
id15,yes,yes,representative,,
id16,yes,yes,intermediate,,
id17,yes,yes,bad,incomplete RBC removal,
id17fup,yes,yes,representative,,
id19,yes,yes,representative,,
id20,yes,yes,representative,,
id22,yes,yes,representative,,
id23,yes,yes,representative,,
id24,yes,yes,representative,,
id25,yes,yes,representative,,
id26,yes,yes,representative,extreme neutrophils, almost no monocytes
id26fup,yes,yes,representative,extreme neutrophils, almost no monocytes
id30,yes,yes,representative,,
id35,yes,yes,intermediate,,
id36,yes,yes,representative,,
id36fup,yes,yes,representative,,
id39,yes,yes,representative,,
id39fup,yes,no,bad,compensation and staining problem, analysis impossible
id40,yes,yes,representative,,
id40fup,yes,yes,representative,,
id41,yes,yes,representative,,
id41fup,yes,yes,representative,,
id43,yes,yes,representative,,
id46,yes,yes,representative,,
id47,yes,yes,bad,low general cell count,
id47fup,yes,yes,intermediate,,
id48,yes,yes,representative,,
id48fup,yes,yes,representative,,
id49,yes,yes,intermediate,low granulocyte fraction,
id50,yes,yes,intermediate,,
id50fup,yes,yes,intermediate,,
id51,yes,yes,bad,cd86 staining missing, incomplete RBC lysis
id51fup,yes,yes,intermediate,,
id52,yes,yes,intermediate,CD80 and CD86 missing, almost not monocytes
id53fup,yes,yes,intermediate,,
id54,yes,no,bad,no events, analysis impossible
id54fup,yes,yes,intermediate,,
id55,yes,yes,intermediate,,
id56,yes,yes,intermediate,,
id57,yes,yes,representative,,
id58,yes,yes,representative,,
id59,yes,yes,representative,,
id60,yes,yes,intermediate,,
id61,yes,yes,representative,,
id62,yes,yes,intermediate,,
id63,yes,yes,representative,,
id63fup,yes,yes,representative,,
id64,yes,yes,intermediate,,
id65,yes,yes,representative,,
id66,yes,yes,representative,,
id67,yes,yes,representative,,
id68,yes,yes,representative,,
id68fup,yes,yes,intermediate,compensation?,
id69,yes,yes,intermediate,FPN staining missing,
id70,yes,yes,intermediate,,
id70fup,yes,yes,intermediate,,
id71,yes,yes,representative,,
id72,yes,yes,representative,,
id73,yes,yes,intermediate,CD28 missing,
id74,yes,yes,intermediate,,
id75,yes,yes,intermediate,,
id76,yes,yes,intermediate,,
id77,yes,yes,intermediate,,
id78,yes,yes,representative,,
id78fup,yes,yes,intermediate,,
id79,yes,yes,representative,,
id80,yes,yes,intermediate,,
id81,yes,no,bad,compensation problem, the iso sample could not be anylsed
id82,yes,yes,intermediate,low cell count,
id82fup,yes,yes,intermediate,,
id83,yes,yes,representative,,
id84,yes,yes,intermediate,incomplete RBC removal,
id85,yes,yes,intermediate,PD staining missing,
id86,yes,no,bad,no events, analysis impossible
id87,yes,no,bad,no events, analysis impossible
id88,yes,no,bad,iso sample without data, analysis impossible
id89,yes,yes,intermediate,no FPN and no PD staining,
id91,yes,yes,representative,,
id92,yes,yes,representative,,
id93,yes,yes,representative,,
id94,yes,yes,intermediate,,
id95,yes,yes,representative,,
id96,yes,yes,representative,,
id97,yes,yes,intermediate,,
id98,yes,yes,intermediate,,
id99,yes,yes,representative,,
id100,yes,yes,intermediate,,
id101,yes,yes,intermediate,,
id102,yes,yes,intermediate,,
id103,yes,yes,intermediate,,
id104,yes,yes,intermediate,,
id105,yes,yes,representative,,
id106,yes,yes,representative,,
id107,yes,yes,intermediate,,
id436,yes,yes,representative,,
